,URC Bill of Materials 2023,,,,,,,HOW TO USE:
,Analytics,,,,,,,1. Duplicate the example vendor tab (keep at the end)
,,,,,,,,2. Delete any existing data from the duplication
,,,,,,,,3. Fill in your data
,,,,,,,,4. Add where you plan to use the part!
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Cost Distribution,,,By Subteam,,,,
,Vendor, Cost ,,Subteam, Cost ,,,
,Flinn Scientific, $ 137.62 ,,Science, $ 415.70 ,,,
,Amazon, $ 581.18 ,,Robotic Arm," $ 1,512.11 ",,,
,McMaster-Carr," $ 1,253.94 ",,DCS, $ 715.17 ,,,
,Wilbur 3D Prints, $ 24.88 ,,Software, $ -   ,,,
,Stepper Online, $ 123.32 ,,EC, $ 175.06 ,,,
,Dragon Plate, $ 559.55 ,,,,,,
,Adafruit, $ 113.62 ,,,,,,
,Midwest Steel, $ 99.30 ,,,,,,
,MOUSER, $ 106.40 ,,,,,,
,Basco, $ 2.10 ,,,,,,
,Nanotec, $ 99.30 ,,,,,,
,Online Metals, $ 100.77 ,,,,,,
,Ebay, $ -   ,,,,,,
,SciMod Last Run, $ 64.86 ,,,,,,
