Item,Item Number ,Quantity ,Unit Price ,Total Price ,Supplier ,URL,Subteam Lead,,,,,,
Bringsmart motor controller,,1,13.39,13.39,Amazon,Amazon.com: Bringsmart CCM6N DC PWM Motor Speed Controller 6V-30V Variable Speed Drive 6A Positive Inversion Mini Switch Controller (Speed controller) : Electronics,Yash,Status,,,,,
Mini Actuator,,1,32.99,32.99,Amazon,https://www.amazon.com/Electric-High-Speed-sec-Weight-Intelligent-Automation/dp/B07ZJ4R2NR/ref=sr_1_6?_encoding=UTF8&c=ts&keywords=Linear%2BMotion%2BActuators&qid=1641764784&s=industrial&sr=1-6&ts_id=350654011&th=1,Chris,Ordered ,Yes,,,Items Total ,1652.14
Nema 23 Motor Mount,,1,8,8,Amazon,https://www.amazon.com/Stepper-Bracket-Support-Mounting-Engraving/dp/B075L92Y6B/ref=asc_df_B075L92Y6B/?tag=hyprod-20&linkCode=df0&hvadid=226601492573&hvpos=&hvnetw=g&hvrand=603371953141417351&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9004278&hvtargid=pla-377642693911&psc=1,Chris,,,,,Shipping ,0
Bringsmart 12V Motor,,1,30,30,Amazon,https://www.amazon.com/BRINGSMART-70kg-cm-Electric-Self-locking-Reversed/dp/B0774HGZGX?th=1,Yash,Estimated Delivery,,,,Total ,1652.14
,,,,0,,,,Shipped ,Yes,,,,
,,1,,0,,https://www.amazon.com/Antennas-Antenna-3-5V-28dB-meter/dp/B013EUOCZ6/ref=sr_1_6?crid=3HN7N5YV6QSNN&keywords=uFL+3V+active+antenna&qid=1640749426&sprefix=ufl+3v+active+antenna%2Caps%2C75&sr=8-6,,Shipping Number ,,,,,
,,1,,0,,,,Picked Up,No,,,,
Cameras,,4,,0,,https://www.amazon.com/180degree-Fisheye-Camera-usb-Android-Windows/dp/B00LQ854AG,,,,,,,
,,1,,0,,https://www.amazon.com/7-Port-USB-3-0-Hub-Splitter/dp/B08R86STK4/ref=sr_1_9?crid=2P3SM2P8I382X&keywords=usb+3+hub&qid=1640742174&sprefix=usb+3+hub+%2Caps%2C84&sr=8-9,,,,,,,
,,1,,0,,https://www.amazon.com/Adapter-CableCreation-Female-Charging-Converter/dp/B074V49MDK/ref=sr_1_2?crid=4RLCC3UT2VQZ&keywords=usb+c+female+to+to+usb+a+male+3&qid=1640742481&sprefix=usb+c+female+to+to+usb+a+male+3%2Caps%2C88&sr=8-2,,,,,,,
,,1,,0,,https://www.amazon.com/SanDisk-128GB-Extreme-UHS-I-SDSDXV5-128G-GNCIN/dp/B07H48412Q/ref=sr_1_3?crid=1471TM5JAMMID&keywords=128gb+sd+card&qid=1640742290&sprefix=128gb+sd+card%2Caps%2C74&sr=8-3,,,,,,,
,,2,,0,,https://www.amazon.com/Ethernet-Internet-Network-Professional-Shielded/dp/B08PKYN463/ref=sr_1_6?keywords=ethernet%2Bcable&qid=1640745138&sprefix=ethernet%2B%2Caps%2C76&sr=8-6&th=1,,,,,,,
,,2,,0,,https://www.amazon.com/2-Pack-Computer-Performance-Cooling-1500RPM/dp/B08BLTW8RX/ref=sr_1_1_sspa?keywords=DC%2BFans&qid=1641750138&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzRUhVNVNCTkZWWkkzJmVuY3J5cHRlZElkPUEwNzU5MDI0M0lTSjYyVjJQNVYyWCZlbmNyeXB0ZWRBZElkPUEwNTg0ODM5MUYzM1NYSzU1MU80TSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU&th=1,,,,,,,
PGN - R16-2RS Sealed Ball Bearing,,1,32.03,32.03,,https://www.amazon.com/PGN-R16-2RS-Sealed-Bearing-Lubricated/dp/B07MWGX47T/ref=cm_cr_arp_d_product_top?ie=UTF8,,,,,,,
RPLiDAR Sensor,,1,99.99,99.99,Amazon,Amazon.com : Slamtec RPLIDAR A1M8 2D 360 Degree 12 Meters Scanning Radius LIDAR Sensor Scanner for Obstacle Avoidance and Navigation of Robots : Electronics,Jon,,,,,,
Jetson,,,,,,https://www.amazon.com/gp/product/B06XPFH939/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,,,,,,,
