Item,Item Number ,Quantity ,Unit Price ,Total Price ,Supplier ,URL,Subteam Lead,,,,,,
"10-32 1/2"" bolts",,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=4873,,Status,,,,,
"10-32 1-1/2"" bolts",,12,,,,https://www.boltdepot.com/Product-Details.aspx?product=4877,,Ordered ,No,,,Items Total ,0
"10-32 3/8"" bolts",,20,,,,https://www.boltdepot.com/Product-Details.aspx?product=4872,,Confirmaton No.,,,,Shipping ,0
10-32 nylon lock nuts,,35,,,,https://www.boltdepot.com/Product-Details.aspx?product=2553,`,Estimated Delivery,,,,Total ,0
"8-32 1-1/4"" bolts",,5,,,,https://www.boltdepot.com/Product-Details.aspx?product=4856,,Shipped ,No,,,,
"8-32 1/4"" bolts",,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=4850,,Shipping Number ,,,,,
"8-32 1/2"" bolts",,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=4852,,Picked Up,No,,,,
8-32 nuts,,20,,,,https://www.boltdepot.com/Product-Details.aspx?product=2551,,,,,,,
"3-48 3/8"" bolts",,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=21151,,,,,,,
3-56 nylon lock nuts,,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=21145,,,,,,,
"6-32 1/4"" bolts",,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=5544,,,,,,,
6-32 lock nuts,,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=2550,,,,,,,
"#16 3/8"" bolt coarse grain",,1,,,,https://www.boltdepot.com/Product-Details.aspx?product=160,,,,,,,
"10-32 2""",4879,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=4879,,,,,,,
"8-32  2-1/2"" socket head",4860,4,,,,https://www.boltdepot.com/Product-Details.aspx?product=4860,,,,,,,
Nuts for 8-32,,2,,,,https://www.boltdepot.com/Product-Details.aspx?product=2551,,,,,,,
Nuts for M4,,10,,,,https://www.boltdepot.com/Product-Details.aspx?product=4793,,,,,,,
