Orders,,,,,,,,,Logistics (Business & Team Leads Only),,,,,,,
Subteam,Member ('@'),Link,Item Name,Purpose/Location,Item ID #,Quantity,Unit Price,Shipping Cost,Total Item Cost,Total Cost,Pre-Order Status,Order Status,Picked Up?,Purchasing Run #,Subteam Cost, Cost 
robo,Zemichael Gebeyehu,,Shoulder and Elbow,Shoulder and Elbow ,,1,"1,200.00",0.00,"1,200.00","1,200.00",verified,yes,,,Science, $ -   
,,,,,,,,,0.00,0.00,,,,,Robotic Arm," $ 1,200.00 "
,,,,,,,,,0.00,0.00,,,,,DCS, $ -   
,,,,,,,,,0.00,0.00,,,,,Software, $ -   
,,,,,,,,,0.00,0.00,,,,,EC, $ -   
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
,,,,,,,,,0.00,0.00,,,,,,
